city,year,scenario,resource_allocation_score,fiscal_requirement_yuan,fiscal_capacity_yuan,fiscal_sustainability_ratio,teacher_demand,education_coverage_pct
Lanzhou,2024,Increase Subsidy,6.9,1268520000.0000002,1268520000.0,1.0,4700.0,85.15
Lanzhou,2025,Increase Subsidy,6.91,1267200000.0000002,1267200000.0,1.0,4500.0,84.69
Beijing,2021,Declining Population,91.89,5078400000.0,6072000000.000001,1.1957,15731.999999999998,96.58
Beijing,2022,Declining Population,93.35,5114832000.0,6115560000.000001,1.1957,15548.0,96.52
Beijing,2023,Declining Population,93.95,5100480000.0,6098400000.000001,1.1957,15180.0,96.43
Beijing,2024,Declining Population,95.54,5103240000.0,6101700000.000001,1.1957,14996.0,96.35
Beijing,2025,Declining Population,96.62,5100480000.0,6098400000.000001,1.1957,14720.000000000002,96.26
Shanghai,2021,Declining Population,90.5,4864500000.0,5816250000.0,1.1957,15456.000000000002,96.51
Shanghai,2022,Declining Population,92.08,4877840000.0,5832200000.0,1.1957,15180.0,96.43
Shanghai,2023,Declining Population,93.1,4862936000.0,5814380000.0,1.1957,14812.0,96.33
Shanghai,2024,Declining Population,94.72,4864684000.0,5816470000.0,1.1957,14536.0,96.24
Shanghai,2025,Declining Population,95.68,4860912000.0,5811960000.0,1.1957,14259.999999999998,96.15
Guangzhou,2021,Declining Population,73.96,5561400000.0,6649500000.000001,1.1957,18400.0,96.19
Guangzhou,2022,Declining Population,75.6,5917440000.0,7075200000.000001,1.1957,19044.0,96.31
Guangzhou,2023,Declining Population,76.49,6284520000.0,7514100000.000001,1.1957,19688.0,96.42
Guangzhou,2024,Declining Population,77.94,6662640000.0,7966200000.000001,1.1957,20332.0,96.52
Guangzhou,2025,Declining Population,78.96,7051800000.0,8431500000.000001,1.1957,21068.0,96.62
Shenzhen,2021,Declining Population,77.38,4250400000.0,5082000000.0,1.1957,13799.999999999998,93.91
Shenzhen,2022,Declining Population,79.58,4669920000.0,5583600000.0,1.1957,14996.0,94.29
Shenzhen,2023,Declining Population,81.37,5106000000.0,6105000000.000001,1.1957,16284.0,94.62
Shenzhen,2024,Declining Population,83.52,5453760000.0,6520800000.000001,1.1957,17572.0,94.46
Shenzhen,2025,Declining Population,85.06,5812560000.0,6949800000.000001,1.1957,18860.0,94.33
Hangzhou,2021,Declining Population,75.84,3146400000.0,3762000000.0000005,1.1957,11592.000000000002,95.14
Hangzhou,2022,Declining Population,77.71,3390016000.0,4053280000.0000005,1.1957,12236.0,95.34
Hangzhou,2023,Declining Population,79.0,3642464000.0,4355120000.0,1.1957,12880.0,95.52
Hangzhou,2024,Declining Population,80.98,3884608000.0,4644640000.0,1.1957,13524.000000000002,95.67
Hangzhou,2025,Declining Population,82.18,4134480000.0,4943400000.0,1.1957,14076.0,95.81
Nanjing,2021,Declining Population,75.47,2553000000.0,3052500000.0000005,1.1957,9660.000000000002,95.45
Nanjing,2022,Declining Population,76.6,2604520000.0,3114100000.0000005,1.1957,9568.0,95.42
Nanjing,2023,Declining Population,77.19,2655120000.0,3174600000.0000005,1.1957,9476.0,95.39
Nanjing,2024,Declining Population,78.42,2686400000.0,3212000000.0000005,1.1957,9384.0,95.33
Nanjing,2025,Declining Population,78.73,2734700000.0,3269750000.0000005,1.1957,9292.0,95.3
Wuhan,2021,Declining Population,57.89,3068200000.0,3668500000.0000005,1.1957,13340.0,93.28
Wuhan,2022,Declining Population,58.59,3084300000.0,3687750000.0000005,1.1957,13064.000000000002,93.13
Wuhan,2023,Declining Population,59.48,3110796000.0,3719430000.0000005,1.1957,12788.0,93.01
Wuhan,2024,Declining Population,59.57,3148792000.0,3764860000.0000005,1.1957,12512.0,92.92
Wuhan,2025,Declining Population,60.19,3184580000.0,3807650000.0000005,1.1957,12236.0,92.83
Chengdu,2021,Declining Population,55.21,3527280000.0,4217400000.0000005,1.1957,15916.0,92.86
Chengdu,2022,Declining Population,57.06,3734096000.0,4464680000.0,1.1957,16560.0,93.06
Chengdu,2023,Declining Population,58.62,3933000000.0,4702500000.0,1.1957,17204.0,93.22
Chengdu,2024,Declining Population,60.47,4151224000.0,4963420000.0,1.1957,17848.0,93.4
Chengdu,2025,Declining Population,62.12,4360800000.0,5214000000.0,1.1957,18492.0,93.55
Zhengzhou,2021,Declining Population,36.31,2760000000.0,3300000000.0000005,1.1957,12604.0,88.63
Zhengzhou,2022,Declining Population,37.01,2812716000.0,3363030000.0000005,1.1957,12420.0,88.49
Zhengzhou,2023,Declining Population,37.48,2850988000.0,3408790000.0000005,1.1957,12236.0,88.31
Zhengzhou,2024,Declining Population,38.49,2886316000.0,3451030000.0000005,1.1957,12052.0,88.11
Zhengzhou,2025,Declining Population,38.95,2918700000.0,3489750000.0000005,1.1957,11868.0,87.92
Lanzhou,2021,Declining Population,24.85,1030400000.0,1232000000.0,1.1957,4876.0,86.11
Lanzhou,2022,Declining Population,24.98,1045856000.0,1250480000.0,1.1957,4692.0,85.85
Lanzhou,2023,Declining Population,24.51,1059840000.0,1267200000.0,1.1957,4508.0,85.58
Lanzhou,2024,Declining Population,24.7,1060944000.0,1268520000.0,1.1957,4324.0,85.15
Lanzhou,2025,Declining Population,24.26,1059840000.0,1267200000.0,1.1957,4140.0,84.69
Beijing,2021,Teacher Cost Increase,80.04,5629440000.0,6072000000.000001,1.0786,17100.0,96.58
Beijing,2022,Teacher Cost Increase,81.49,5667760000.0,6115560000.000001,1.079,16900.0,96.52
Beijing,2023,Teacher Cost Increase,82.08,5649600000.0,6098400000.000001,1.0794,16500.0,96.43
Beijing,2024,Teacher Cost Increase,83.67,5651320000.0,6101700000.000001,1.0797,16300.0,96.35
Beijing,2025,Teacher Cost Increase,84.75,5646400000.0,6098400000.000001,1.0801,16000.0,96.26
Shanghai,2021,Teacher Cost Increase,78.73,5395020000.0,5816250000.0,1.0781,16800.0,96.51
Shanghai,2022,Teacher Cost Increase,80.31,5407600000.0,5832200000.0,1.0785,16500.0,96.43
Shanghai,2023,Teacher Cost Increase,81.36,5388840000.0,5814380000.0,1.079,16100.0,96.33
Shanghai,2024,Teacher Cost Increase,82.98,5388820000.0,5816470000.0,1.0794,15800.0,96.24
Shanghai,2025,Teacher Cost Increase,83.95,5382800000.0,5811960000.0,1.0797,15500.0,96.15
Guangzhou,2021,Teacher Cost Increase,62.1,6173000000.0,6649500000.000001,1.0772,20000.0,96.19
Guangzhou,2022,Teacher Cost Increase,63.68,6564480000.0,7075200000.000001,1.0778,20700.0,96.31
Guangzhou,2023,Teacher Cost Increase,64.53,6967960000.0,7514100000.000001,1.0784,21400.0,96.42
Guangzhou,2024,Teacher Cost Increase,65.93,7383440000.0,7966200000.000001,1.0789,22100.0,96.52
Guangzhou,2025,Teacher Cost Increase,66.91,7811560000.0,8431500000.000001,1.0794,22900.0,96.62
Shenzhen,2021,Teacher Cost Increase,65.51,4716000000.0,5082000000.0,1.0776,15000.0,93.91
Shenzhen,2022,Teacher Cost Increase,67.64,5180320000.0,5583600000.0,1.0778,16300.0,94.29
Shenzhen,2023,Teacher Cost Increase,69.36,5663280000.0,6105000000.000001,1.078,17700.0,94.62
Shenzhen,2024,Teacher Cost Increase,71.49,6050240000.0,6520800000.000001,1.0778,19100.0,94.46
Shenzhen,2025,Teacher Cost Increase,73.01,6449200000.0,6949800000.000001,1.0776,20500.0,94.33
Hangzhou,2021,Teacher Cost Increase,63.95,3500640000.0,3762000000.0000005,1.0747,12600.0,95.14
Hangzhou,2022,Teacher Cost Increase,65.75,3769920000.0,4053280000.0000005,1.0752,13300.0,95.34
Hangzhou,2023,Teacher Cost Increase,66.97,4048800000.0,4355120000.0,1.0757,14000.0,95.52
Hangzhou,2024,Teacher Cost Increase,68.92,4316480000.0,4644640000.0,1.076,14700.0,95.67
Hangzhou,2025,Teacher Cost Increase,70.08,4591920000.0,4943400000.0,1.0765,15300.0,95.81
Nanjing,2021,Teacher Cost Increase,63.71,2842200000.0,3052500000.0000005,1.074,10500.0,95.45
Nanjing,2022,Teacher Cost Increase,64.84,2897560000.0,3114100000.0000005,1.0747,10400.0,95.42
Nanjing,2023,Teacher Cost Increase,65.44,2951920000.0,3174600000.0000005,1.0754,10300.0,95.39
Nanjing,2024,Teacher Cost Increase,66.68,2985280000.0,3212000000.0000005,1.0759,10200.0,95.33
Nanjing,2025,Teacher Cost Increase,66.99,3037140000.0,3269750000.0000005,1.0766,10100.0,95.3
Wuhan,2021,Teacher Cost Increase,41.38,3427800000.0,3668500000.0000005,1.0702,14500.0,93.28
Wuhan,2022,Teacher Cost Increase,42.43,3443380000.0,3687750000.0000005,1.071,14200.0,93.13
Wuhan,2023,Teacher Cost Increase,43.63,3470260000.0,3719430000.0000005,1.0718,13900.0,93.01
Wuhan,2024,Teacher Cost Increase,43.93,3509640000.0,3764860000.0000005,1.0727,13600.0,92.92
Wuhan,2025,Teacher Cost Increase,44.77,3546620000.0,3807650000.0000005,1.0736,13300.0,92.83
Chengdu,2021,Teacher Cost Increase,42.02,3944720000.0,4217400000.0000005,1.0691,17300.0,92.86
Chengdu,2022,Teacher Cost Increase,44.64,4174000000.0,4464680000.0,1.0696,18000.0,93.06
Chengdu,2023,Teacher Cost Increase,47.0,4394680000.0,4702500000.0,1.07,18700.0,93.22
Chengdu,2024,Teacher Cost Increase,48.82,4636360000.0,4963420000.0,1.0705,19400.0,93.4
Chengdu,2025,Teacher Cost Increase,50.44,4868640000.0,5214000000.0,1.0709,20100.0,93.55
Zhengzhou,2021,Teacher Cost Increase,17.87,3087680000.0,3300000000.0000005,1.0688,13700.0,88.63
Zhengzhou,2022,Teacher Cost Increase,18.74,3143700000.0,3363030000.0000005,1.0698,13500.0,88.49
Zhengzhou,2023,Teacher Cost Increase,19.45,3184020000.0,3408790000.0000005,1.0706,13300.0,88.31
Zhengzhou,2024,Teacher Cost Increase,20.7,3221140000.0,3451030000.0000005,1.0714,13100.0,88.11
Zhengzhou,2025,Teacher Cost Increase,21.42,3255060000.0,3489750000.0000005,1.0721,12900.0,87.92
Lanzhou,2021,Teacher Cost Increase,5.29,1153920000.0,1232000000.0,1.0677,5300.0,86.11
Lanzhou,2022,Teacher Cost Increase,5.67,1169440000.0,1250480000.0,1.0693,5100.0,85.85
Lanzhou,2023,Teacher Cost Increase,5.47,1183360000.0,1267200000.0,1.0708,4900.0,85.58
Lanzhou,2024,Teacher Cost Increase,6.05,1183280000.0,1268520000.0,1.072,4700.0,85.15
Lanzhou,2025,Teacher Cost Increase,6.03,1180800000.0,1267200000.0,1.0732,4500.0,84.69
Beijing,2021,Fiscal Constraint,79.51,5520000000.0,5343360000.000001,0.968,17100.0,96.58
Beijing,2022,Fiscal Constraint,80.95,5559600000.0,5381692800.000001,0.968,16900.0,96.52
Beijing,2023,Fiscal Constraint,81.53,5544000000.0,5366592000.000001,0.968,16500.0,96.43
Beijing,2024,Fiscal Constraint,83.1,5547000000.0,5369496000.000001,0.968,16300.0,96.35
Beijing,2025,Fiscal Constraint,84.17,5544000000.0,5366592000.000001,0.968,16000.0,96.26
Shanghai,2021,Fiscal Constraint,78.22,5287500000.0,5118300000.0,0.968,16800.0,96.51
Shanghai,2022,Fiscal Constraint,79.78,5302000000.0,5132336000.0,0.968,16500.0,96.43
Shanghai,2023,Fiscal Constraint,80.82,5285800000.0,5116654400.0,0.968,16100.0,96.33
Shanghai,2024,Fiscal Constraint,82.42,5287700000.0,5118493600.0,0.968,15800.0,96.24
Shanghai,2025,Fiscal Constraint,83.38,5283600000.0,5114524800.0,0.968,15500.0,96.15
Guangzhou,2021,Fiscal Constraint,61.67,6045000000.0,5851560000.000001,0.968,20000.0,96.19
Guangzhou,2022,Fiscal Constraint,63.24,6432000000.0,6226176000.000001,0.968,20700.0,96.31
Guangzhou,2023,Fiscal Constraint,64.07,6831000000.0,6612408000.000001,0.968,21400.0,96.42
Guangzhou,2024,Fiscal Constraint,65.46,7242000000.0,7010256000.000001,0.968,22100.0,96.52
Guangzhou,2025,Fiscal Constraint,66.43,7665000000.0,7419720000.000001,0.968,22900.0,96.62
Shenzhen,2021,Fiscal Constraint,65.05,4620000000.0,4472160000.0,0.968,15000.0,93.91
Shenzhen,2022,Fiscal Constraint,67.17,5076000000.0,4913568000.0,0.968,16300.0,94.29
Shenzhen,2023,Fiscal Constraint,68.87,5550000000.0,5372400000.000001,0.968,17700.0,94.62
Shenzhen,2024,Fiscal Constraint,70.99,5928000000.0,5738304000.000001,0.968,19100.0,94.46
Shenzhen,2025,Fiscal Constraint,72.5,6318000000.0,6115824000.000001,0.968,20500.0,94.33
Hangzhou,2021,Fiscal Constraint,63.53,3420000000.0,3310560000.0000005,0.968,12600.0,95.14
Hangzhou,2022,Fiscal Constraint,65.32,3684800000.0,3566886400.0000005,0.968,13300.0,95.34
Hangzhou,2023,Fiscal Constraint,66.53,3959200000.0,3832505600.0,0.968,14000.0,95.52
Hangzhou,2024,Fiscal Constraint,68.46,4222400000.0,4087283200.0,0.968,14700.0,95.67
Hangzhou,2025,Fiscal Constraint,69.61,4494000000.0,4350192000.0,0.968,15300.0,95.81
Nanjing,2021,Fiscal Constraint,63.3,2775000000.0,2686200000.0000005,0.968,10500.0,95.45
Nanjing,2022,Fiscal Constraint,64.43,2831000000.0,2740408000.0000005,0.968,10400.0,95.42
Nanjing,2023,Fiscal Constraint,65.01,2886000000.0,2793648000.0000005,0.968,10300.0,95.39
Nanjing,2024,Fiscal Constraint,66.24,2920000000.0,2826560000.0000005,0.968,10200.0,95.33
Nanjing,2025,Fiscal Constraint,66.54,2972500000.0,2877380000.0000005,0.968,10100.0,95.3
Wuhan,2021,Fiscal Constraint,41.06,3335000000.0,3228280000.0000005,0.968,14500.0,93.28
Wuhan,2022,Fiscal Constraint,42.11,3352500000.0,3245220000.0000005,0.968,14200.0,93.13
Wuhan,2023,Fiscal Constraint,43.29,3381300000.0,3273098400.0000005,0.968,13900.0,93.01
Wuhan,2024,Fiscal Constraint,43.58,3422600000.0,3313076800.0000005,0.968,13600.0,92.92
Wuhan,2025,Fiscal Constraint,44.42,3461500000.0,3350732000.0000005,0.968,13300.0,92.83
Chengdu,2021,Fiscal Constraint,41.71,3834000000.0,3711312000.0000005,0.968,17300.0,92.86
Chengdu,2022,Fiscal Constraint,44.32,4058800000.0,3928918400.0,0.968,18000.0,93.06
Chengdu,2023,Fiscal Constraint,46.67,4275000000.0,4138200000.0,0.968,18700.0,93.22
Chengdu,2024,Fiscal Constraint,48.48,4512200000.0,4367809600.0,0.968,19400.0,93.4
Chengdu,2025,Fiscal Constraint,50.09,4740000000.0,4588320000.0,0.968,20100.0,93.55
Zhengzhou,2021,Fiscal Constraint,17.6,3000000000.0,2904000000.0000005,0.968,13700.0,88.63
Zhengzhou,2022,Fiscal Constraint,18.46,3057300000.0,2959466400.0000005,0.968,13500.0,88.49
Zhengzhou,2023,Fiscal Constraint,19.16,3098900000.0,2999735200.0000005,0.968,13300.0,88.31
Zhengzhou,2024,Fiscal Constraint,20.4,3137300000.0,3036906400.0000005,0.968,13100.0,88.11
Zhengzhou,2025,Fiscal Constraint,21.11,3172500000.0,3070980000.0000005,0.968,12900.0,87.92
Lanzhou,2021,Fiscal Constraint,5.04,1120000000.0,1084160000.0,0.968,5300.0,86.11
Lanzhou,2022,Fiscal Constraint,5.42,1136800000.0,1100422400.0,0.968,5100.0,85.85
Lanzhou,2023,Fiscal Constraint,5.21,1152000000.0,1115136000.0,0.968,4900.0,85.58
Lanzhou,2024,Fiscal Constraint,5.78,1153200000.0,1116297600.0,0.968,4700.0,85.15
Lanzhou,2025,Fiscal Constraint,5.75,1152000000.0,1115136000.0,0.968,4500.0,84.69
